	chao1	shannon	observed_otus
2.20.M01.S1.742240	994.6375	6.1724437752	593.0
3.26.M01.S1700.743495	930.789473684	5.63616703883	512.0
1.31.M01.S.743245	901.904761905	5.8111694473	523.0
2.12.F01.S2200.742911	837.842105263	5.08887297252	438.0
4.23.M01.S1616.743026	743.649350649	5.67611003838	480.0
2.23.M03.S.830A.742198	777.05	4.3886390399	452.0
1.19.M02.S4P.743541	889.266666667	6.40888666484	527.0
3.06.M01.S700A.743383	868.363636364	6.16117779896	544.0
3.26.M01.S100.742649	797.263157895	5.64350921318	514.0
2.20.M01.S1.b.742574	1012.63513514	6.27273974882	575.0
4.06.M03.S.430P.743233	1013.69230769	5.63456082725	605.0
4.17.M01.1747.743295	804.238095238	5.72282386273	482.0
2.15.M01.S2.742269	919.638554217	6.48252039492	594.0
2.14.F01.S900A.743448	760.5	5.5585049454	465.0
4.24.M03.S.2P.743555	1057.69230769	5.83577722896	599.0
4.21.M01.S1400.743042	886.264705882	5.97499159821	532.0
3.18.F01.S1500.742921	781.0	5.62179600784	513.0
3.13.M01.S450.742744	943.172413793	5.82721049071	497.0
4.07.M01.S635.742440	939.333333333	5.76459986898	514.0
3.11.M01.S1000.743101	848.0	6.17842452914	562.0
2.20.M02.M.743526	222.0	3.44094403426	147.0
1.30.M02.M.743058	377.789473684	4.42842284786	203.0
2.03.M01.M.a.743211	292.24	3.89718158948	190.0
2.18.M02.S.742405	883.835443038	5.84165888669	562.0
3.07.M01.S600.743085	677.658227848	5.98342581184	476.0
1.29.M01.S.742970	994.172413793	6.44949655521	619.0
3.02.M01.S700.742403	801.383561644	5.70163396627	495.0
1.22.M01.S.742831	975.535714286	6.33080965128	605.0
2.29.M01.S140.742961	846.463414634	6.34561955541	550.0
2.18.F01.S808A.743193	861.195652174	5.29700135371	450.0
4.16.M03.S.742685	1169.03092784	6.80684719862	725.0
4.21.M01.S1007.742659	760.388888889	5.66008237087	484.0
4.10.M01.S530.742451	691.772277228	5.8296117418	514.0
2.04.F01.S100A.743367	763.145833333	5.07837806845	420.0
4.16.M01.S1430.743177	733.0625	6.02940508112	518.0
3.20.F01.S700.742789	937.4	5.33094860489	473.0
2.21.M01.S12.742523	793.346153846	5.50110063147	476.0
2.23.M01.S1.742348	826.144927536	5.88964882337	502.0
3.04.F01.S2359.742566	828.508474576	5.34965349814	481.0
4.21.M01.S844.742602	743.957746479	5.78885183848	483.0
4.20.M01.S500.742749	857.481481481	6.12631849759	538.0
4.18.M01.S510.743411	905.442857143	6.0461649613	539.0
4.09.M01.S550.742410	884.451219512	5.89734532139	552.0
2.29.F01.S1030.743522	755.220779221	5.26052776845	481.0
4.23.M01.S600.742793	736.48	5.77119064026	492.0
3.12.F01.S730.742665	751.470588235	5.45772780019	479.0
4.14.M01.S600.742991	702.710144928	5.7103386402	464.0
3.21.F01.S800.742301	871.0	5.26296525393	461.0
2.24.F01.S400.743267	765.0	5.37083892669	489.0
1.20.M01.S4.742841	835.40625	6.06477644587	549.0
4.12.M01.S1715.742603	697.718309859	5.54505237833	458.0
1.20.M01.S1.743494	853.679012346	6.06968880079	537.0
2.20.F01.S1830.743437	584.595744681	4.09230713471	350.0
2.09.M01.S3.743126	1004.12345679	6.12483510399	598.0
1.20.M01.S3.742142	950.93902439	6.0056033713	556.0
1.30.F01.S.743551	819.02	5.0276819943	425.0
3.09.F01.S945.742984	729.25	4.39986416757	409.0
3.06.M01.S605.743095	898.147540984	5.73838722398	496.0
2.21.M01.S11.742999	937.887096774	5.4161355137	483.0
4.06.M01.S1310.743105	928.676056338	6.23263492129	548.0
3.09.M01.S350.742738	828.658227848	6.25291714133	532.0
3.18.M01.S720.743539	724.553846154	5.37947229287	457.0
4.14.M01.S920.742653	804.677966102	5.68490937464	464.0
4.02.M01.S515.742161	896.585106383	6.19155049906	576.0
2.15.M01.S1.742583	916.93902439	6.36670312533	573.0
3.28.M01.S838.743125	887.717647059	6.17128618013	567.0
1.27.F01.S.742358	713.022222222	4.28452284952	359.0
4.13.M01.S600.742671	909.220588235	6.18538206717	532.0
2.20.F01.S2030.743484	760.450549451	5.70337229562	510.0
4.11.M01.S1815.743599	777.8	5.77625692199	499.0
3.23.F01.S715.742571	800.04	5.5288505122	499.0
2.06.M01.S2.742623	827.25	6.19386136656	537.0
1.30.M01.S3.742475	929.438356164	6.22477585397	556.0
2.01.F01.S946.742619	794.592592593	5.43199259868	489.0
2.10.M01.S2.742568	919.679012346	6.44200883659	586.0
1.29.F01.S.743449	768.720588235	5.20526635489	446.0
2.19.M01.S2.742748	911.018867925	5.8776230946	493.0
2.10.F01.S2100.743611	576.518518519	4.73021686132	364.0
2.11.M01.S2.743597	875.764044944	6.40381235088	585.0
1.20.M01.M.742894	305.666666667	4.48690675626	217.0
4.01.M01.S130.743397	990.763888889	6.0909947389	555.0
4.03.F01.S800.743223	933.0625	6.29907630056	601.0
2.24.M01.S2.742801	841.129411765	5.94740885094	534.0
4.08.M01.S1956.743435	893.524590164	5.70882751864	495.0
2.09.F01.M.1020P.743037	322.538461538	3.10295919818	201.0
3.10.M01.S435.743024	832.8	5.76147396666	498.0
2.09.M02.SB.743291	847.558441558	5.80630524029	546.0
2.03.M02.S.743361	1047.70967742	6.57219810064	663.0
2.11.M02.S.742534	905.347826087	6.28880890456	591.0
2.06.M02.S.742302	906.068493151	5.16988868695	539.0
4.23.M01.M.742916	394.857142857	4.04959712134	232.0
2.26.M03.S.3P.742939	894.797101449	5.1676030442	552.0
2.26.M01.S1707.743381	745.515625	5.84079783054	462.0
3.27.M01.S1634.743403	853.817073171	6.07733346729	541.0
1.16.M03.S.742785	957.666666667	5.86965849195	556.0
2.27.M03.S.8A.742379	830.084745763	4.66307999827	486.0
1.30.M03.S.1015A.743165	797.469879518	5.66612194854	528.0
4.17.M03.S.11A.742837	897.445783133	5.80325922258	569.0
4.01.M03.S.10A.742865	970.505617978	5.76733784325	598.0
4.18.M03.S.11A.743045	842.066666667	4.84939186708	552.0
2.28.M03.S.9A.743192	930.225352113	5.41194075848	533.0
2.13.M02.S.742562	915.973684211	6.27229129085	548.0
4.02.M03.S.7A.743015	940.964912281	5.43338904591	526.0
4.14.M03.S.10A.743457	1060.0	6.63889544101	688.0
4.23.M03.S.730A.742417	1099.65625	6.08936271927	684.0
1.22.M03.S.6P.742389	781.3125	5.75950569692	507.0
3.26.M03.S.12P.743446	896.578947368	5.26569759247	544.0
2.13.M01.S3.742339	973.561643836	6.23383284899	554.0
4.15.M03.S.4P.743624	873.394366197	5.36989889619	531.0
