OTUi OTUj pvalue r_coef rand_r_coef skew kurt sd mean_tip_dist_i mean_tip_dist_j i_j_dist anonymized_name
4481613 3708846 0.000199980002000055 0.430877435783 0.0860496902779 0.9710529323915541 2.91214334096 0.0716638534812 0 0 0.70711 M01
4481613 4346675 0.00479952004799999 -0.333302039703 -0.150289369006 0.16130670106516987 0.246861078899 0.0716454744251 0 0 0.89022 M01
4481613 528865 0.00959904009599999 0.261551227367 0.0617144777417 0.4538198236957911 0.651730788387 0.0721192646992 0 0 1.21726 M01
4481613 841635 0.002399760024 0.410863760402 0.123651826377 0.7113124769230021 1.68934718893 0.0707864382903 0 0 0.84516 M01
528865 125624 0.00519948005199999 0.311905773881 0.118291450356 0.1899220772836382 -0.0122148755268 0.0713438953839 0 0 0.97836 M01
528865 28218 0.00259974002600005 0.228745492707 0.00265363344969 0.11381273174594005 0.124554903327 0.0728378714629 0 0 1.03143 M01
528865 4327141 0.00869913008699996 0.191269366565 -0.00244414558683 0.1171681337765609 0.0414412505558 0.0722899103115 0 0 1.09154 M01
528865 4365130 0.00339966003400005 -0.260838106131 -0.0824839568236 0.18185582324698615 0.138084245705 0.0718788237305 0 0 0.96482 M01
841635 28218 0.00969903009700002 0.223954733336 0.0401444567867 0.1716285329049351 0.229862718844 0.0729446585731 0 0 0.75003 M01
185420 181432 0.00209979002100003 -0.224607994716 0.00975866073156 0.014267821508052845 0.0769031479716 0.0721957145019 0 0 0.30803 M01
185420 184394 0.00619938006200005 -0.223970619755 -0.0171899378738 0.2340802279306268 0.736654933863 0.0735031400242 0 0 0.36016 M01
185420 3708846 0.00339966003400005 -0.421897697141 -0.252791987902 0.06879501261790459 0.0212404093714 0.0673086147326 0 0 0.40901 M01
185420 4045886 0.00819918008200005 0.195805552119 -0.0226616151435 -0.0007499889038556761 -0.0331733952266 0.0718878473134 0 0 0.44368 M01
185420 4365130 0.00819918008200005 -0.19593290743 0.0227051721764 -0.03358369575624416 -0.036630053888 0.0721180835247 0 0 0.38782 M01
186321 125624 9.99900010000276e-05 -0.304820386955 -0.021452766573 -0.06113582167933019 -0.0384259415339 0.0724569593091 0 0 0.31053 M01
186321 4194837 0.00439956004399999 -0.211409343113 0.0214939089181 -0.004036702162225752 -0.0750163703434 0.0723610680035 0 0 0.249 M01
2339949 125624 0.00109989001099997 -0.282536607941 0.068725288274 -0.043273564530392335 0.0317617966657 0.0720025785211 0 0 0.08268 M01
2339949 1803030 0.000699930006999971 -0.367975813305 -0.142703931984 0.002546699849663688 -0.000153418108859 0.0696073274443 0 0 0.11815 M01
2339949 4194837 0.003599640036 -0.250040880452 -0.0553668709862 -0.00925299013017237 -0.0178683423275 0.0722251485123 0 0 0.14449 M01
2407149 4242681 0.00619938006200005 0.232580210682 0.0542835654033 -0.03876683918927573 -0.0148195881851 0.0721953314543 0 0 0.24451 M01
2582660 3907189 0.00129987001300003 0.320515420611 0.116879048832 -0.055924145956000315 -0.0425456353834 0.0705804881965 0 0 0.13522 M01
28218 359872 0.00969903009700002 0.185701200664 0.00374059641111 0.12005233220079052 -0.0969982125401 0.072252021991 0 0 0.52872 M01
28218 4476780 0.00959904009599999 0.187563625712 -0.00271417556683 0.024935268441494355 -0.0200496718042 0.0734085102697 0 0 0.3418 M01
28218 528865 0 0.365449754177 0.0034400403596 0.1365566693523607 0.00323072557315 0.0724257512844 0 0 1.03143 M01
28218 841635 2.4999375000001e-05 0.33956090221 0.0407376262144 0.15246781019161051 0.218004128509 0.0724868723683 0 0 0.75003 M01
311947 3398712 0.00339966003400005 0.250077964055 0.0395043729622 0.07453150714204454 0.289410463585 0.0719061171195 0 0 0.59392 M01
311947 4447950 0.00649935006500002 0.281137047694 0.101524537316 -0.03945634730076272 0.0184045407515 0.071357082127 0 0 0.82102 M01
311947 4454586 0.00829917008299996 0.206748062122 0.00899056538518 0.08510025409679497 0.351963699624 0.0730899565953 0 0 0.92185 M01
315846 176312 0.000599940006000055 0.242922365751 0.010749512836 -0.010623075623367444 -0.0608636575013 0.07313771535 0 0 0.46367 M01
315846 3907189 0.00169983001700003 -0.233241102099 -0.023796740935 -0.013423177775031443 0.0412095364901 0.0713405721926 0 0 0.52482 M01
3537197 183296 0.00639936006399999 -0.266731910546 -0.0959986648026 0.008869970180108877 -0.151690777518 0.0710276577334 0 0 0.12057 M01
